Ticker,IBOV Index,EWZ Index,MEXBOL Index,EEM US Equity,CRY Index,CRY FOOD Index,CO1 Comdty,S 1 COMB Comdty,C 1 Comdty,QW1 Comdty,LC1 Comdty,LH1 Comdty,RR1 Comdty,CL1 Comdty,IOE1 COMB Comdty,USDBRL Curncy,USDMXN Curncy,USDCLP Curncy,USDCOP Curncy,USDZAR Curncy,USDTRY Curncy,USDPEN Curncy
IBOV Index,1.0,0.9061280157710107,0.8700372487475114,0.9329891085097304,0.918983344206054,0.7302232261473807,0.9399839682604899,0.7583036819610584,0.714029535086456,0.8070994116007352,0.7894874674796498,0.40952837300170153,-0.48109009241662004,0.8610230867324492,0.7837491272506861,-0.18601114428158505,-0.8682635292313325,-0.8772895663471624,-0.8897706325738792,-0.8582062516164842,0.35429259045847666,0.6017974229135603
EWZ Index,0.9061280157710107,1.0,0.8724343777042166,0.7310688755093661,0.8783186078409478,0.6217051748035762,0.9022122757925565,0.5508546197048992,0.5816966989072774,0.7307722800379667,0.7769783861225381,0.3066156254401537,-0.3929004261891785,0.7985059061052708,0.518101280739112,-0.5725626888074853,-0.9010995184435168,-0.6783854887960821,-0.9216018470310554,-0.8629783990665746,0.02138315102845745,0.3187784316039842
MEXBOL Index,0.8700372487475114,0.8724343777042166,1.0,0.8128417162492242,0.886389925197455,0.7628103605171399,0.8595977385998343,0.7624837902392642,0.7935185501780881,0.8698208165218008,0.7776133436374347,0.5158748774233379,-0.3022077407374825,0.7633091387228467,0.6346973028723869,-0.3394149296880477,-0.8709231475835916,-0.7157530956341833,-0.8459935693300912,-0.870903510373471,0.15702135878431522,0.4613312686513082
EEM US Equity,0.9329891085097304,0.7310688755093661,0.8128417162492242,1.0,0.8818439005383968,0.8294017807892193,0.8528045782243163,0.9030833958909446,0.8383159531067671,0.8421647225165252,0.7645066274735037,0.5289841071101752,-0.49171534220174284,0.7926149463830086,0.9037191196593982,0.0727576403514567,-0.7857622478199192,-0.9182673362842164,-0.7443218509824127,-0.8159672890918194,0.5645829352975097,0.7666544918889873
CRY Index,0.918983344206054,0.8783186078409478,0.886389925197455,0.8818439005383968,1.0,0.8527020795665813,0.9590372423629263,0.7799886818518293,0.8124447695129765,0.8839552909802887,0.9112885240762295,0.5567084498446666,-0.5424607655379476,0.882855061395152,0.7383135983965459,-0.28154869013332234,-0.9091534991234738,-0.7751471731749872,-0.8084572826992645,-0.9061487809340925,0.2561294396344029,0.6222364479186284
CRY FOOD Index,0.7302232261473807,0.6217051748035762,0.7628103605171399,0.8294017807892193,0.8527020795665813,1.0,0.7107197170087204,0.8979621505309784,0.9044107465174608,0.8434559299850889,0.844056994582108,0.788375181043065,-0.5366080861854257,0.6818471027931455,0.7525990548738449,-0.0785132282886326,-0.8179034997073152,-0.7473846695765503,-0.5712767376058114,-0.8686888542587549,0.4997496463174586,0.7449208583279164
CO1 Comdty,0.9399839682604899,0.9022122757925565,0.8595977385998343,0.8528045782243163,0.9590372423629263,0.7107197170087204,1.0,0.6770936095369131,0.6927423385490049,0.8356864722184515,0.8275673469093965,0.3970561212538845,-0.4399686893048496,0.9228242061027931,0.707181819813097,-0.28377588861015646,-0.8621604997992477,-0.7795761318162145,-0.8769041552370958,-0.8443553580885379,0.1832865517254606,0.5356404832260913
S 1 COMB Comdty,0.7583036819610584,0.5508546197048992,0.7624837902392642,0.9030833958909446,0.7799886818518293,0.8979621505309784,0.6770936095369131,1.0,0.956004219101724,0.8344311148036957,0.7015526313400968,0.6518946403337988,-0.4253278087030318,0.6252405552051399,0.8840820358936702,0.13003210276135657,-0.6739235146791244,-0.8180028901523958,-0.5732712596578776,-0.7628427984556743,0.5618831421619432,0.7744189479312429
C 1 Comdty,0.714029535086456,0.5816966989072774,0.7935185501780881,0.8383159531067671,0.8124447695129765,0.9044107465174608,0.6927423385490049,0.956004219101724,1.0,0.8752077803211679,0.7346392630800571,0.674679540070145,-0.35737025141794276,0.629441966754639,0.7864753333849002,-0.017235047466688684,-0.7085800594662349,-0.7096822007275074,-0.5682488939259401,-0.792796418646946,0.3790710527226285,0.6792204947960729
QW1 Comdty,0.8070994116007352,0.7307722800379667,0.8698208165218008,0.8421647225165252,0.8839552909802887,0.8434559299850889,0.8356864722184515,0.8344311148036957,0.8752077803211679,1.0,0.811477954377549,0.5837362526857394,-0.3325109752781921,0.7700440890581621,0.7120325294366686,-0.14133243065570725,-0.8167878273917453,-0.7527265439572821,-0.7008647631328527,-0.815281137719151,0.2857225718640309,0.5705483909571559
LC1 Comdty,0.7894874674796498,0.7769783861225381,0.7776133436374347,0.7645066274735037,0.9112885240762295,0.844056994582108,0.8275673469093965,0.7015526313400968,0.7346392630800571,0.811477954377549,1.0,0.6551900016018471,-0.5954492151207549,0.7648563651039288,0.6118574689642737,-0.2744331632754958,-0.8586279181690875,-0.6728961070916117,-0.683055041030892,-0.8495155319768517,0.2583084479462478,0.568234942782554
LH1 Comdty,0.40952837300170153,0.3066156254401537,0.5158748774233379,0.5289841071101752,0.5567084498446666,0.788375181043065,0.3970561212538845,0.6518946403337988,0.674679540070145,0.5837362526857394,0.6551900016018471,1.0,-0.37017016093796756,0.41833297500401934,0.4842358742223029,0.10487872906807885,-0.5530124465942718,-0.46465491523206115,-0.26974581413864474,-0.5826179798277412,0.4396496250609213,0.5246113929292239
RR1 Comdty,-0.48109009241662004,-0.3929004261891785,-0.3022077407374825,-0.49171534220174284,-0.5424607655379476,-0.5366080861854257,-0.4399686893048496,-0.4253278087030318,-0.35737025141794276,-0.3325109752781921,-0.5954492151207549,-0.37017016093796756,1.0,-0.4159672539511899,-0.45781725726991024,0.03578644195983732,0.43706918722325094,0.3921969266097941,0.21234771048307907,0.4739878988117348,-0.4054465109971654,-0.6390021282736194
CL1 Comdty,0.8610230867324492,0.7985059061052708,0.7633091387228467,0.7926149463830086,0.882855061395152,0.6818471027931455,0.9228242061027931,0.6252405552051399,0.629441966754639,0.7700440890581621,0.7648563651039288,0.41833297500401934,-0.4159672539511899,1.0,0.6782184071619122,-0.20317743972356458,-0.7939343218877194,-0.7551891960304117,-0.7897313476913277,-0.796981275674656,0.2156288272160258,0.5648227887025589
IOE1 COMB Comdty,0.7837491272506861,0.518101280739112,0.6346973028723869,0.9037191196593982,0.7383135983965459,0.7525990548738449,0.707181819813097,0.8840820358936702,0.7864753333849002,0.7120325294366686,0.6118574689642737,0.4842358742223029,-0.45781725726991024,0.6782184071619122,1.0,0.2327828323503567,-0.5632327439774726,-0.8830094407638868,-0.5572030540420668,-0.6556547127557288,0.573764484980168,0.8231350700931387
USDBRL Curncy,-0.18601114428158505,-0.5725626888074853,-0.3394149296880477,0.0727576403514567,-0.28154869013332234,-0.0785132282886326,-0.28377588861015646,0.13003210276135657,-0.017235047466688684,-0.14133243065570725,-0.2744331632754958,0.10487872906807885,0.03578644195983732,-0.20317743972356458,0.2327828323503567,1.0,0.41955806825514885,-0.07868845396030377,0.4206253028716122,0.3880725117319713,0.6160909897088555,0.33002368846710256
USDMXN Curncy,-0.8682635292313325,-0.9010995184435168,-0.8709231475835916,-0.7857622478199192,-0.9091534991234738,-0.8179034997073152,-0.8621604997992477,-0.6739235146791244,-0.7085800594662349,-0.8167878273917453,-0.8586279181690875,-0.5530124465942718,0.43706918722325094,-0.7939343218877194,-0.5632327439774726,0.41955806825514885,1.0,0.7246117380338565,0.8529173201963117,0.9438224488905781,-0.2548752236570122,-0.47952079776127
USDCLP Curncy,-0.8772895663471624,-0.6783854887960821,-0.7157530956341833,-0.9182673362842164,-0.7751471731749872,-0.7473846695765503,-0.7795761318162145,-0.8180028901523958,-0.7096822007275074,-0.7527265439572821,-0.6728961070916117,-0.46465491523206115,0.3921969266097941,-0.7551891960304117,-0.8830094407638868,-0.07868845396030377,0.7246117380338565,1.0,0.7535455758895004,0.7719579194674098,-0.561121872826832,-0.7056588768817487
USDCOP Curncy,-0.8897706325738792,-0.9216018470310554,-0.8459935693300912,-0.7443218509824127,-0.8084572826992645,-0.5712767376058114,-0.8769041552370958,-0.5732712596578776,-0.5682488939259401,-0.7008647631328527,-0.683055041030892,-0.26974581413864474,0.21234771048307907,-0.7897313476913277,-0.5572030540420668,0.4206253028716122,0.8529173201963117,0.7535455758895004,1.0,0.820533536610113,-0.09738309832627023,-0.3032037253658815
USDZAR Curncy,-0.8582062516164842,-0.8629783990665746,-0.870903510373471,-0.8159672890918194,-0.9061487809340925,-0.8686888542587549,-0.8443553580885379,-0.7628427984556743,-0.792796418646946,-0.815281137719151,-0.8495155319768517,-0.5826179798277412,0.4739878988117348,-0.796981275674656,-0.6556547127557288,0.3880725117319713,0.9438224488905781,0.7719579194674098,0.820533536610113,1.0,-0.2741830910781636,-0.5959231314292643
USDTRY Curncy,0.35429259045847666,0.02138315102845745,0.15702135878431522,0.5645829352975097,0.2561294396344029,0.4997496463174586,0.1832865517254606,0.5618831421619432,0.3790710527226285,0.2857225718640309,0.2583084479462478,0.4396496250609213,-0.4054465109971654,0.2156288272160258,0.573764484980168,0.6160909897088555,-0.2548752236570122,-0.561121872826832,-0.09738309832627023,-0.2741830910781636,1.0,0.7132727695557937
USDPEN Curncy,0.6017974229135603,0.3187784316039842,0.4613312686513082,0.7666544918889873,0.6222364479186284,0.7449208583279164,0.5356404832260913,0.7744189479312429,0.6792204947960729,0.5705483909571559,0.568234942782554,0.5246113929292239,-0.6390021282736194,0.5648227887025589,0.8231350700931387,0.33002368846710256,-0.47952079776127,-0.7056588768817487,-0.3032037253658815,-0.5959231314292643,0.7132727695557937,1.0
