,Z_Spread,Z_Spread,Z_Spread,Z_Spread,Z_Spread
INDUSTRY_SECTOR,Basic Materials,"Consumer, Cyclical",Energy,Technology,Utilities
Refdate,,,,,
2019-09-10,300.14846341463414,,127.41475,-700.146,55.76680401466744
2019-09-11,299.9738048780488,,131.03125,-696.027,55.27384197029086
2019-09-12,299.5906422764228,,124.9205,-587.098,56.91848296851856
2019-09-13,299.3139430894309,,123.68125,-642.425,53.68574946169757
2019-09-16,291.48753658536583,,125.73025,-624.965,52.28063981017822
2019-09-17,289.76652032520326,,128.09975,-649.907,54.008931680293685
2019-09-18,285.8517886178862,,131.585,-666.584,54.755547264575334
2019-09-19,288.8314552845529,,131.13675,-682.638,55.18049737814072
2019-09-20,289.83960975609756,,131.199,-691.008,54.66810063906001
2019-09-23,301.3667606382979,,135.28075,-661.451,54.814273512110454
2019-09-24,300.44450406504063,,135.955,-648.182,55.27956468611292
2019-09-25,304.55811170212763,,142.29475,-639.952,55.268547812234125
2019-09-26,309.5372154471545,,142.30875,-648.335,54.67276126193559
2019-09-27,302.27828048780486,,142.95625,-666.514,53.71360743011217
2019-09-30,281.85962601626017,,143.0975,-659.239,54.07437761759694
2019-10-01,280.2892764227642,,139.69175,-691.066,53.94473566003072
2019-10-02,296.8895365853659,,142.291,-631.298,54.076072296781994
2019-10-03,316.0151138211382,,146.586,-602.017,53.65615733359614
2019-10-04,408.68263829787236,,150.112,-588.352,53.675429860586114
2019-10-07,412.74739361702126,,153.69325,-539.611,55.525017402409034
2019-10-08,414.33517021276595,,158.87425,-516.617,54.816022656107705
2019-10-09,409.51862765957446,,154.15775,-559.84,64.90455802122156
2019-10-10,408.4237287234043,,147.6415,-647.237,64.9136219613038
2019-10-11,366.59120731707316,,143.1285,-674.315,61.37267143489598
2019-10-14,369.8410975609756,,145.78875,-698.272,60.86573814041811
2019-10-15,364.3820243902439,,143.56075,-667.714,61.26108256247801
2019-10-16,361.5936544715447,,140.9505,-657.052,59.078804902054614
2019-10-17,386.28728191489364,,140.848,-697.082,57.66677880646465
2019-10-18,353.43017073170734,,139.39675,-731.796,56.408306612682125
2019-10-21,361.5131788617886,,138.474,-698.884,54.78276687303901
2019-10-22,387.0856869918699,375.6165,137.1155,-683.06,54.33041528004511
2019-10-23,392.25138211382114,373.497,138.971,-536.062,54.38407111170477
2019-10-24,391.21934146341465,375.8835,137.199,-474.081,53.1911275641339
2019-10-25,415.89705319148936,379.2175,133.489,-500.501,50.69402422729141
2019-10-28,415.4735159574468,370.4165,131.3485,-420.571,49.87139724357972
2019-10-29,402.6315650406504,365.619,131.37425,-410.6,49.254545526996516
2019-10-30,447.1512021276596,359.304,130.2045,-290.828,47.75846803064739
2019-10-31,446.1590319148936,352.336,130.862,-258.797,45.90088668650522
2019-11-01,447.33258510638296,351.621,129.462,-255.557,44.51374994095943
2019-11-04,435.8724756097561,346.8045,127.68125,-248.562,41.75763850058283
2019-11-05,438.7684521276596,323.707,124.53625,-237.928,41.868817082314614
2019-11-06,431.48231300813006,319.4885,123.2735,-251.617,41.026783594775786
2019-11-07,435.25345934959347,314.262,118.813,-232.462,42.54449608232218
2019-11-08,432.6289105691057,311.164,119.76925,-294.05,43.55808438671129
2019-11-11,434.076918699187,302.138,120.1135,-332.417,45.391163572343814
2019-11-12,430.6815487804878,299.9705,119.87975,-325.061,46.13804738600005
2019-11-13,433.60531707317074,313.886,121.3785,-319.763,47.01738361123141
2019-11-14,433.60132926829266,314.8615,121.871,-329.587,47.46743629745709
2019-11-15,430.6995325203252,304.8625,115.355,-322.272,49.055961943787864
2019-11-18,446.39177659574466,290.5585,114.53875,-267.725,50.70264474958878
2019-11-19,424.1624349593496,294.546,114.2005,-278.597,51.83648827657291
2019-11-20,442.5748670212766,309.68,115.04775,-289.04,52.84070109667438
2019-11-21,421.1456016260163,288.0645,115.87775,-286.118,52.90755461890083
2019-11-22,398.7468287292818,306.7035,115.9805,-304.757,52.491248038579144
2019-11-25,396.94217127071823,287.84,115.163,-256.474,51.5622879882208
2019-11-26,391.8533591160221,279.8535,114.97075,-287.78,49.93640746018118
2019-11-27,400.46255801104974,282.223,115.654,-333.912,51.39683893627818
2019-11-28,413.1852209944751,278.709,115.51875,-372.285,51.16703880153485
2019-11-29,404.1503867403315,278.8,113.538,-401.592,51.44585939220224
2019-12-02,408.1332113821138,277.34,112.0895,-341.93,51.63471899474728
2019-12-03,400.31447154471545,303.5255,115.05675,-376.851,50.10665741009136
2019-12-04,399.36966260162603,316.698,113.063,-359.315,49.66235937739906
2019-12-05,437.9238138297872,314.8885,111.535,-383.158,48.70643677460133
2019-12-06,384.74475203252035,320.152,109.92475,-473.517,48.76704200831594
2019-12-09,378.9032479674797,320.373,109.99925,-439.826,47.30629213827406
2019-12-10,399.5218780487805,318.211,110.39625,-509.555,46.94181851925549
2019-12-11,423.0776276595745,315.117,110.8695,-506.104,47.82624893055658
2019-12-12,416.33043617021275,305.444,109.69375,-392.161,49.15870229263332
2019-12-13,403.99890425531913,299.038,108.26525,-372.767,48.15653912169657
2019-12-16,402.9778085106383,294.597,107.34325,-412.134,48.79420450347048
2019-12-17,403.4551010638298,263.303,106.794,-433.621,47.35958395087824
2019-12-18,382.48397967479673,256.845,105.629,-419.485,46.56251833459447
2019-12-19,394.82043617021276,254.917,105.00325,-436.719,46.92260740840449
2019-12-20,376.1858577235772,248.624,104.416,-413.73,45.46470452412608
2019-12-23,392.7270744680851,245.504,103.512,-494.307,46.984542652081984
2019-12-24,379.8181991869919,249.479,103.337,-571.94,46.138320987599066
2019-12-27,380.2750975609756,242.695,103.2375,-456.294,44.40736739349115
2019-12-30,398.30371808510637,236.913,101.48575,-458.383,44.984435570724415
2019-12-31,370.77379268292685,233.518,101.13175,-507.146,45.80854169159682
2020-01-02,360.1799674796748,233.459,100.44725,-423.504,45.3560631916612
2020-01-03,361.7093211382114,260.034,101.57175,-510.375,44.242091219926316
2020-01-06,375.9203861788618,232.848,102.6845,-448.486,43.72356667901412
2020-01-07,374.57419918699185,229.018,102.414,-449.263,43.39092726338844
2020-01-08,386.4292967479675,236.245,101.77825,-413.545,44.51465794920239
2020-01-09,384.4450162601626,232.5065,99.908,-417.119,45.05403851304504
2020-01-10,418.3157340425532,230.102,99.077,-452.113,43.85927869251462
2020-01-13,404.0914840425532,228.395,97.7445,-427.741,41.99636222855966
2020-01-14,382.8992398373984,228.072,97.73425,-425.602,41.24333643041027
2020-01-15,389.9456788617886,227.35,99.09575,-431.596,41.64671730684093
2020-01-16,415.9372021276596,221.587,98.40675,-437.83,41.041341049345526
2020-01-17,386.23855284552843,222.498,97.81425,-471.328,40.19075501982593
2020-01-20,382.3513211382114,220.042,97.17225,-432.208,38.416298877161864
2020-01-21,386.07158943089433,225.025,97.5395,-400.263,38.79768431503638
2020-01-22,411.40221808510637,225.415,97.51825,-367.323,38.71535951888988
2020-01-23,390.9323536585366,241.844,100.14375,-385.598,37.94418324679787
2020-01-24,414.7978829787234,239.031,101.6945,-422.273,35.82434587242692
2020-01-27,407.4183861788618,252.488,109.79175,-343.22,37.65981973587002
2020-01-28,399.90183333333334,268.633,109.5,-346.202,37.89995667454563
2020-01-29,361.9890569105691,267.764,109.97775,-356.816,36.790401176749235
2020-01-30,386.5481329787234,281.7345,114.99775,-316.829,36.84170762384234
2020-01-31,368.4041178861789,282.2395,116.8765,-339.666,35.789792191978606
2020-02-03,377.38760162601625,261.07,118.19675,-294.107,36.00103080678688
2020-02-04,382.35543085106383,254.024,115.1895,-349.325,37.52979077603758
2020-02-05,345.5480772357724,245.894,113.991,-349.325,37.742016932423844
2020-02-06,296.051164893617,243.91,112.0485,-375.987,37.97265641001631
2020-02-07,284.7073244680851,242.213,111.83525,-396.877,37.74758286026284
2020-02-10,295.78898936170214,248.154,112.87125,-383.686,38.26841836013856
2020-02-11,231.79269918699188,292.1535,110.7505,-419.335,38.25336588115735
2020-02-12,279.50878191489363,292.1955,109.18525,-399.976,38.99540182740047
2020-02-13,202.59119512195122,290.5115,108.7575,-382.246,39.168580437017305
2020-02-14,259.66576063829785,289.2795,106.02975,-404.519,39.82429526553111
2020-02-17,265.7795957446809,287.571,105.53125,-385.13,38.67087831926802
2020-02-18,197.09922764227642,288.928,104.70575,-404.255,39.33627691200235
2020-02-19,189.93106097560977,286.5525,104.406,-412.965,38.261675308164264
2020-02-20,263.0291755319149,284.5165,104.31425,-411.968,39.006993807108415
2020-02-21,279.55087234042554,286.8635,103.73175,-458.429,37.85884790631449
2020-02-24,389.5857872340425,336.571,116.2265,-310.163,38.69195316929119
2020-02-25,351.89846341463414,355.215,124.662,-235.54,38.052186328268355
2020-02-26,398.76176795580113,377.6125,128.4325,-74.977,41.597768169177584
2020-02-27,464.2758292682927,425.956,142.94025,-150.675,45.10148186197794
2020-02-28,497.9785478723404,429.433,173.29875,-2.507,45.79800449259187
2020-03-02,494.9145243902439,435.144,186.64175,78.717,48.37232213845996
2020-03-03,497.35747967479676,426.9,170.19575,59.438,53.864474353324965
2020-03-04,504.59609349593495,429.539,166.0105,64.16,50.69595957183706
2020-03-05,507.94743902439023,439.095,170.21375,207.251,65.95552171178423
2020-03-06,526.6634471544716,458.729,196.94975,407.925,99.10896688632744
2020-03-09,545.1263536585366,509.646,395.054,410.637,70.61007644119249
2020-03-10,538.3324419889502,519.533,391.544,410.396,90.97142700725907
